ts_ms,humedad,humedad_avg,estado
236858,71.500,68.438,ALERT
237358,71.500,68.563,ALERT
237858,75.000,68.813,ALERT
238358,68.000,68.625,ALERT
238859,75.000,70.000,ALERT
239359,73.000,70.938,ALERT
239859,75.500,71.750,ALERT
240359,75.000,73.063,ALERT
240859,68.000,72.625,ALERT
241359,69.000,72.313,ALERT
241859,63.000,70.813,ALERT
242359,60.500,69.875,ALERT
242859,58.500,67.813,OK
243359,66.500,67.000,OK
243859,66.500,65.875,OK
244359,69.500,65.188,OK
244859,71.500,65.625,OK
245360,73.000,66.125,OK
245861,75.500,67.688,OK
246362,75.500,69.563,OK
246863,71.500,71.188,ALERT
247364,69.500,71.563,ALERT
247864,67.000,71.625,ALERT
248364,65.500,71.125,ALERT
248864,65.500,70.375,ALERT
249365,65.500,69.438,ALERT
249865,65.500,68.188,ALERT
250365,64.500,66.813,OK
250865,64.500,65.938,OK
251366,64.500,65.313,OK
251866,64.500,65.000,OK
252366,64.500,64.875,OK
252866,70.500,65.500,OK
253367,70.500,66.125,OK
253868,70.500,66.750,OK
254369,78.000,68.438,OK
254869,78.000,70.125,ALERT
255370,78.000,71.813,ALERT
255871,78.000,73.500,ALERT
256372,73.000,74.563,ALERT
256873,73.000,74.875,ALERT
257373,73.000,75.188,ALERT
257873,73.000,75.500,ALERT
258373,70.500,74.563,ALERT
258873,68.000,73.313,ALERT
259373,68.000,72.063,ALERT
259874,67.000,70.688,ALERT
260374,64.500,69.625,ALERT
260874,64.500,68.563,ALERT
261374,64.500,67.500,OK
261875,69.500,67.063,OK
262375,75.500,67.688,OK
262875,76.500,68.750,OK
263375,76.500,69.813,OK
263875,67.000,69.813,OK
264375,66.500,70.063,ALERT
264875,66.500,70.313,ALERT
265376,66.500,70.563,ALERT
265876,66.500,70.188,ALERT
266376,66.500,69.063,ALERT
266876,66.500,67.813,OK
267376,66.500,66.563,OK
267877,66.500,66.500,OK
268377,66.500,66.500,OK
268877,66.500,66.500,OK
269377,74.000,67.438,OK
269877,74.000,68.375,OK
270377,74.000,69.313,OK
270877,74.000,70.250,ALERT
271377,74.000,71.188,ALERT
271877,74.000,72.125,ALERT
272377,74.000,73.063,ALERT
272877,74.000,74.000,ALERT
273377,61.000,72.375,ALERT
273878,61.000,70.750,ALERT
274378,61.000,69.125,ALERT
274878,67.000,68.250,ALERT
275378,67.000,67.375,OK
275878,67.000,66.500,OK
276378,67.000,65.625,OK
276878,67.000,64.750,OK
277379,67.000,65.500,OK
277879,67.000,66.250,OK
278379,76.500,68.188,OK
278879,76.500,69.375,OK
279380,76.500,70.563,ALERT
279880,76.500,71.750,ALERT
280380,60.500,70.938,ALERT
280880,60.500,70.125,ALERT
281380,66.500,70.063,ALERT
281880,69.000,70.313,ALERT
282380,69.000,69.375,ALERT
282881,69.000,68.438,ALERT
283382,75.000,68.250,ALERT
283882,75.000,68.063,ALERT
284382,75.000,69.875,ALERT
284882,75.000,71.688,ALERT
285382,67.000,71.750,ALERT
285882,67.000,71.500,ALERT
286382,67.000,71.250,ALERT
286882,67.000,71.000,ALERT
287383,67.000,70.000,ALERT
287884,67.000,69.000,ALERT
288384,67.000,68.000,OK
288884,67.000,67.000,OK
